Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Gonçalvez-Souza_2023,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Life history,Behavioral,,,Hawking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Gleaning,,,,,,,,,gleaning,,,,,,,,,,,gleaning,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Flycatching ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Trawling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Hovering,,,,,,,,,hover,,,,,,,,,,,hover,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Perching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,,,,,,,,,other,,,,,,,,,,,other,,,,,,,,,,,,,,,,,
Life history,Behavioral,Activity pattern,activity_cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Dusk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Dawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,SeasonalActivityPatternKurtosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,SeasonalActivityPatternSkewness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,,,,,,,,,total activity level,,,,,,,,,,,,,,,,,,,total activity level,,,,,,,,,
Life history,Trophic niche,Feeding guild,trophic_level,,DietType,,,,,Feeding.groups,Diet,,diet,diet,,trophic functional groups,,,trophic level,diet,Main trophic level ,diet,,,diet,diet,diet,,trophic level,Diet,Trophic guilds,,functional groups,,functional group,,Trophic guilds,dietary habits,diet,,Feeding guild
Life history,Trophic niche,,,Insectivorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Frugivorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Nectarivorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Carnivorous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,Diet specialization,,,TrophicSpecialization,,,,,,,,diet specialization,,diet specialization,,,,dietary specialization,,Main Feeding Habits,,,,,,,Diet specialisation,dietary specialization,,,,,,,,,,,,
Life history,Trophic niche,,,,FirstMainPreyItem,,,,,,,,Diet,,,,,,,,,,,,,,,,,,,,,,,Diet,,,,,
Life history,Trophic niche,,,,SecondMainPreyItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,,ThirdMainPreyItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,dphy_invertebrate,,,,,,,,,,invertebrates,,,,,,,,,,,invertebrates,,,,,,,,,,,,,,,,Invertebrates-general (Diet-Inv),
Life history,Trophic niche,,dphy_vertebrate,,,,,,,,,,terrestrial vertebrates,,,,,,,,,,,terrestrial vertebrates,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,dphy_plant,Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_inv,Insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Arachnids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Centipedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_vend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,,,,,,,,,,blood,,,,,,,,,,,blood,,,,,,,,,,,,,,,,blood of vertebrates (Diet-Vend),
Life history,Trophic niche,,det_vect,,,,,,,,,,"Reptiles, snakes, amphibians, salamanders (Diet-Vect)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reptiles, snakes, amphibians, salamanders (Diet-Vect)",
Life history,Trophic niche,,,Reptiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Amphibians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_vfish,Fishes,,,,,,,,,fish,,,,,,,,,,,fish,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_vunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_scav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_fruit,Fruits,,,,,,,,,fruit,,,,,,,,,,,fruit,,,,,,,,,,,,,,,,"Fruit, drupes (Diet-Fruit)",
Life history,Trophic niche,,det_nect,Nectar,,,,,,,,,nectar,,,,,,,,,,,nectar,,,,,,,,,,,,,,,,"Nectar, pollen, plant exudates, gums (Diet-Nect).",
Life history,Trophic niche,,det_seed,Seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_plantother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,det_diet_breadth_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,,DietaryNicheBreadth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,,DietaryDiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
